Nome,Idade,Sexo,Estado_Civil,CEP,Escolaridade
Sra. Bruna Vasconcelos,62,Feminino,Casado,50677531,Superior Incompleto
Sr. Carlos Eduardo Duarte,67,Feminino,Viúvo,50879423,Pós-Graduação
Sophie Moraes,63,Outro,Viúvo,50609858,Superior Completo
Melina Teixeira,53,Feminino,Divorciado,50645913,Pós-Graduação
Otávio Lima,73,Feminino,Solteiro,51045358,Ensino Fundamental
Raquel da Luz,55,Masculino,Solteiro,50090580,Superior Completo
Yuri Borges,37,Feminino,Divorciado,50037806,Superior Incompleto
Giovanna Castro,71,Masculino,Solteiro,50405798,Superior Incompleto
Valentim Albuquerque,82,Outro,Solteiro,50282557,Superior Completo
Natália Azevedo,36,Feminino,Divorciado,50724368,Superior Incompleto
Sra. Nina da Mota,60,Feminino,Solteiro,50778120,Ensino Fundamental
Emanuelly Cunha,82,Outro,Viúvo,50843976,Superior Incompleto
Natália Santos,22,Outro,Casado,50078041,Ensino Fundamental
Aylla Aparecida,68,Outro,Divorciado,50815671,Superior Incompleto
Ana Luiza Ferreira,85,Feminino,Casado,50631025,Superior Incompleto
Ana Carolina Gomes,88,Masculino,Divorciado,50747974,Pós-Graduação
Sr. Isaque da Cruz,41,Outro,Casado,50276784,Pós-Graduação
Luiz Henrique Rezende,50,Outro,Solteiro,50753069,Ensino Médio
João Guilherme Cavalcanti,37,Outro,Viúvo,50835938,Pós-Graduação
Maria Júlia Câmara,52,Outro,Viúvo,50223103,Pós-Graduação
Ana Laura Machado,55,Outro,Casado,50205866,Ensino Médio
Pedro Lucas Novaes,54,Masculino,Solteiro,50725678,Superior Completo
Lorenzo Mendes,89,Outro,Divorciado,50426999,Superior Incompleto
Luara Marques,90,Feminino,Divorciado,50950780,Superior Incompleto
Milena Jesus,85,Outro,Casado,50166765,Ensino Fundamental
Joana da Mata,39,Outro,Viúvo,50867038,Ensino Médio
André Garcia,18,Masculino,Divorciado,50562157,Pós-Graduação
Vitor Hugo Pacheco,24,Outro,Casado,50600301,Pós-Graduação
Davi Lucca Ribeiro,46,Outro,Solteiro,50465597,Pós-Graduação
Thales Carvalho,89,Feminino,Solteiro,50941502,Superior Completo
Clara Garcia,24,Feminino,Divorciado,50312101,Superior Completo
Gabriela Costa,89,Masculino,Viúvo,50057380,Superior Completo
Heloisa Gonçalves,52,Outro,Solteiro,50443122,Superior Incompleto
Isis Silva,45,Masculino,Casado,50559876,Superior Incompleto
Davi Lucas Abreu,58,Outro,Viúvo,50933436,Ensino Médio
Maria Eduarda Santos,82,Feminino,Casado,50543700,Superior Completo
Luiz Miguel Cavalcante,90,Feminino,Solteiro,50456658,Superior Completo
Srta. Isabela Almeida,70,Masculino,Divorciado,50110963,Ensino Médio
Srta. Amanda Novais,87,Feminino,Solteiro,50169222,Pós-Graduação
Antonella Aragão,38,Outro,Divorciado,50130351,Ensino Médio
Ana Júlia da Rosa,45,Masculino,Solteiro,50160358,Ensino Fundamental
Aylla Brito,65,Masculino,Divorciado,50834663,Superior Completo
Lucas Gabriel Moura,82,Outro,Viúvo,50607123,Superior Incompleto
Srta. Luiza Freitas,85,Outro,Viúvo,50952372,Ensino Médio
Dr. Paulo Porto,36,Masculino,Casado,50235095,Ensino Fundamental
Gustavo Rocha,30,Outro,Solteiro,50837589,Superior Incompleto
Lavínia Cunha,31,Masculino,Divorciado,50991892,Superior Completo
Maria Clara Peixoto,70,Feminino,Viúvo,50719750,Superior Completo
Dr. Kaique Aragão,39,Outro,Viúvo,50262622,Superior Completo
Milena Pastor,30,Masculino,Solteiro,50361067,Ensino Fundamental
Ana Lívia da Costa,45,Outro,Divorciado,50103685,Superior Incompleto
Luiz Miguel Nunes,24,Feminino,Viúvo,50425573,Pós-Graduação
Helena Montenegro,52,Feminino,Casado,50517302,Pós-Graduação
Caleb Alves,49,Masculino,Casado,50414354,Superior Completo
Mirella Ramos,54,Outro,Viúvo,50730138,Pós-Graduação
Sra. Eloah Martins,48,Feminino,Solteiro,50173135,Superior Completo
Ana Carolina Pinto,51,Feminino,Viúvo,50025000,Pós-Graduação
Léo Siqueira,40,Feminino,Casado,50947299,Pós-Graduação
Ana Luiza Almeida,67,Outro,Casado,50935076,Ensino Médio
Dr. Theodoro Martins,34,Feminino,Divorciado,50959844,Ensino Fundamental
Ana Abreu,83,Masculino,Solteiro,50322860,Superior Completo
Maria Luísa Duarte,44,Outro,Casado,50449408,Pós-Graduação
Henry Santos,66,Masculino,Casado,50068468,Superior Incompleto
Eduarda da Luz,49,Outro,Casado,50083858,Ensino Fundamental
Ryan Pereira,66,Feminino,Viúvo,50472661,Superior Completo
Enrico Martins,39,Masculino,Divorciado,51086263,Superior Completo
João Pedro Sales,66,Masculino,Casado,51026008,Superior Completo
Maria Sophia Alves,51,Feminino,Divorciado,50018028,Ensino Médio
Calebe Castro,22,Outro,Divorciado,50005682,Pós-Graduação
Sra. Stephany Duarte,22,Masculino,Casado,50632080,Superior Completo
Mathias Macedo,88,Masculino,Solteiro,50154610,Superior Completo
Daniela Barbosa,78,Masculino,Casado,50299664,Ensino Fundamental
Pedro Henrique Cardoso,64,Feminino,Viúvo,50047799,Superior Completo
Danilo Almeida,58,Masculino,Viúvo,50496513,Pós-Graduação
Bernardo Rios,48,Masculino,Viúvo,50128133,Ensino Fundamental
Nicolas Novaes,42,Masculino,Solteiro,50436289,Pós-Graduação
Aylla Cunha,27,Masculino,Viúvo,51013413,Superior Completo
Luana Gomes,54,Masculino,Casado,51002885,Superior Incompleto
Francisco Novais,61,Outro,Divorciado,50005181,Superior Incompleto
Apollo Fogaça,18,Feminino,Viúvo,50411878,Pós-Graduação
Melina Pires,23,Feminino,Solteiro,50250765,Superior Completo
Srta. Catarina Lima,28,Outro,Viúvo,50279224,Superior Incompleto
João Gabriel Cunha,39,Outro,Divorciado,50181136,Pós-Graduação
Ravi Lucca Cassiano,60,Masculino,Solteiro,50321983,Ensino Médio
Srta. Ana Julia das Neves,41,Feminino,Casado,50841718,Superior Incompleto
Olívia Dias,90,Masculino,Solteiro,50963093,Pós-Graduação
Diogo Barros,83,Masculino,Divorciado,50861131,Pós-Graduação
Davi da Mota,49,Outro,Casado,50558907,Ensino Fundamental
Marcela Oliveira,34,Feminino,Solteiro,50117985,Ensino Médio
Ravy da Paz,83,Masculino,Solteiro,50969983,Pós-Graduação
Stephany Machado,75,Masculino,Casado,50362123,Superior Completo
Leandro Cassiano,36,Masculino,Divorciado,50341286,Superior Incompleto
Melina Mendonça,21,Masculino,Casado,50498782,Ensino Médio
Levi Caldeira,76,Masculino,Casado,50963268,Ensino Fundamental
Luan Oliveira,83,Outro,Casado,50426824,Ensino Médio
Srta. Alana Cavalcanti,44,Feminino,Divorciado,50702800,Superior Completo
Levi Fogaça,45,Masculino,Casado,50821545,Superior Completo
Nicole Câmara,88,Feminino,Casado,50030779,Superior Completo
Beatriz Correia,33,Outro,Solteiro,50508442,Superior Completo
Daniela Barbosa,85,Feminino,Viúvo,50362846,Superior Incompleto
Otto da Costa,32,Masculino,Casado,50321352,Pós-Graduação
Bruna Cassiano,38,Outro,Solteiro,50447680,Superior Incompleto
João Siqueira,59,Feminino,Casado,50689732,Ensino Médio
